0:	1	20.616	18.601	34.54	44.102	32.573	42.638	21.84	27.166	23.707	9.22	4	31.257	29.967	33.061	24.739	40.608	11.402	15.033	37.696	3.606	34.015	11.18	29	25.08	32	31.401	40.817	41.785	35.511	6.403	31.064	35.44	14	18.974	23.022	22.204	17.493	9.055	37.577	5.385	15.652	22.361	10.817	8.544	4.472	21.471	8.944	12.207	7.071	7.28	30.017	32.388	27.659	32.14	50.448	14.142	59.034	55.227	44.418	16.279	29.206	32.311	17.029	9.055	2.236	40.706	6.403	9.849	17.205	14.866	7.071	12.53	12.649	37.802	32.062	30	20.248	11.045	24.042	13.601	31.064	44.283	42.544	8.544	27	21.471	30.806	48.26	33.541	10.44	24.187	27.659	10	36.249	11.045	7.616	21.26	23.345	35.735	
1:	0	20.125	17.029	35.114	42.72	32.573	41.231	20.616	28.284	23.324	8.062	3.162	32.14	30.414	34.059	23.537	40.46	11.402	16	39.56	2.236	34.059	12.166	29	24.187	33.015	31.401	40.817	40.497	35.511	5	32.202	35.735	15.033	17.088	23.022	21.401	17.493	9.055	36.77	5.099	15.232	22.361	10.296	8.246	5.831	21.024	9.487	11.18	8.062	5.385	29.069	31.257	27.659	31.257	50.448	15.033	58.898	54.378	42.72	15	27.803	31.78	16	9.055	2.236	39.812	6.403	9.849	18.601	13.601	5.657	13.892	12.649	36.401	32.062	30.232	20.248	12.042	22.804	13.601	30.806	43.382	42.544	8.544	26	21.095	28.862	46.872	33.541	10.44	24.331	26.926	10.198	34.928	11.045	6.325	21.401	23.345	35.735	
2:	0	19.723	17.029	33.838	42.72	33.242	41.11	20.881	28.284	23.707	8	3.162	32.14	29.069	35.014	22.361	38.949	12.083	16	38.275	3	36.056	11.402	30.414	23.087	35.014	32.388	42.19	40.497	36.892	5.385	30.61	34.785	14.036	17.088	22.204	20	17.205	9.487	36.249	4.123	13.928	22.561	10.296	7.616	5.831	20.125	8.944	11.18	8	5.385	29.275	31.257	27.659	31.257	48.918	15.033	58.898	53.339	43.046	16.401	27.803	31.78	18	10	2.236	41.629	5	10.296	20	14.318	5.657	14.318	13.601	35.609	30.067	29.155	20	13.153	22.804	13	31.401	42.953	43.863	7.28	27.019	20.809	29.614	46.872	34.713	9.849	24.331	25.71	9.055	34.176	11	7.616	20	21.378	34.482	
3:	0	19.416	17.029	32.573	41.34	32.016	40.46	20.248	28.443	22.361	7.071	2.828	33.136	29.069	36.014	22.091	40.361	12.083	17.029	40.162	1	36.125	11.402	31.828	22.023	35.057	32.14	42.19	41.11	36.892	5.385	32.016	35.114	15.133	16.553	21.633	18.601	17.205	11.402	35.468	3	14.56	23.537	9.849	6.325	5.657	20.125	7.616	11.18	8	4.123	27.295	29.275	27.659	30.15	47.634	15	58.138	53	42.72	15	26.401	31.78	19.026	9	2.236	41.231	4.123	12.083	21.633	13	5.657	15.264	14.866	35.805	31.145	30.887	21.401	14.318	21.587	11.705	30.61	41.146	42.048	6.083	26.019	20.809	28.636	45.486	32.757	9.434	23.537	26.249	9.055	32.311	9	6.325	20	21.213	34.785	
4:	0	20.248	17.029	32.573	41.677	32.016	41.11	22.136	27.295	23.707	7.071	2.828	32.14	28.636	35.014	22.361	39.051	10.296	16.031	40.162	3	36.014	9.487	30.414	23.087	36.014	31.257	42.19	40.497	36.892	5.385	32.016	34.482	16.031	18.385	23.022	20	16.401	9.487	35.847	2.236	14.56	22.561	9.434	6.325	5	20.125	8.062	12.53	6	5	28.284	31.257	27.659	31.257	49.041	14.036	58.138	53.339	43.566	15	25.612	32.202	20.025	9	2.236	40.311	4	13	21.095	14.318	6.403	15.264	15.524	37.202	30.067	29.155	21.633	12.369	22.561	12.083	31.401	41.629	43.863	6.083	27.019	22.204	29.428	45.486	33.956	11.18	23.345	25.71	9.055	33.615	10	8.246	18.439	21.378	35.44	
5:	0	20	16.971	32.016	40.817	30.806	40.46	22.136	27.659	22.361	6	3.162	33.061	28.636	36.014	21.213	40.361	12.083	16.031	40.162	2	37.054	9.487	30.414	23.087	35.057	31.064	41.183	39.85	38.275	6.083	32.016	35.114	15.133	16.553	21.633	18.601	17.205	11.402	35.114	2.236	15.297	23.345	8.944	6.325	6.403	19.698	7.28	12.53	6	4	28.284	31.257	26.476	30.15	47.802	14.036	57.385	53	41.881	15.264	25.612	31.765	20.025	8	2.828	39	4	14.318	22.472	13	5	16.401	16.155	36.62	29.155	29.53	23.022	13.601	21.84	12.649	31.241	40.719	42.544	7	25.02	20.616	28.443	44.102	33.242	9.434	23.537	26.926	9.055	33.615	8	6.325	20	22.204	35.735	
6:	0	20	16.971	33.242	41.34	30.083	40.608	20.881	27.659	23.707	7.071	3.162	33.061	29.967	36.125	22.361	40.361	10.77	16.279	40.162	1.414	36.125	10.198	30.414	23.195	34.059	31.064	41.183	38.897	36.892	6	31.401	36.056	15.033	17	21.633	19.209	18.028	12.369	36.056	2.236	15.524	23.345	9.849	5.385	5.831	18.788	7.071	12.083	6	4	28.16	31.257	27.459	29.155	48.415	15.033	58.138	53	42.72	13.892	25.612	30.414	19.026	7.071	2.236	37.162	4	13.601	22.825	12.649	5	16.401	16.155	37.443	30.067	30.529	24.698	13.342	21.84	13.601	30	41.146	42.544	9	24	20.809	28.443	43.566	32.757	9.849	24.515	27.659	9.055	33.615	7.071	7.071	20.616	22.204	37	
7:	0	18.868	16.971	34.482	41.049	30.676	42.202	21.587	28.636	23.324	7.28	4.243	33.061	31.305	37.216	23.195	40.361	10.198	16.279	40.853	2.236	35.128	10.44	31.113	23.087	35.057	31.064	40.706	38.897	37.736	5.099	31.401	37.947	15.033	17	22.472	19.105	18.358	11.18	37.947	3	16.763	24.187	9.849	7.28	5.831	20.125	8	13.416	7.071	5.099	29.069	31.145	27.893	28.284	49.82	16.125	58.138	53	43.829	13.601	25.807	29.53	18	7.28	2.236	36.249	5	12.369	22.825	11.402	5	15.62	14.866	39.115	31.145	31.906	25.554	14.142	21.378	15.524	29.411	41.593	41.231	11	24	19.723	28.443	43.909	33.541	9.22	25.495	28.443	10.05	33.106	8.246	8	21.932	23.195	37	
8:	0	18.028	15.556	35.171	39.661	30.083	42.438	19.647	27.893	23.022	5.385	5.657	34.059	31.765	38.328	23.195	40.361	12.166	17.464	42.154	2.236	35.228	11.18	31.113	21.095	35.128	31.016	40.249	38.601	38.275	5.385	32.016	37	15.033	16.125	23.324	19.849	17.493	11.402	37.947	2.236	16.279	25.318	9.849	7	7.071	19.313	9.055	13	9.055	4.123	29.017	30.15	26.926	28.16	49.82	16.279	58.796	53	43.267	13.038	24.413	30.529	19.026	6.083	4.123	35.847	5.099	13.153	24.187	9.487	5	17.029	15.652	39.446	31.257	32.249	25.554	16.125	20.616	14.318	27.803	41.593	39.395	11.18	23.022	19.723	28.443	43.566	31.575	9.22	26.683	28.862	11.18	33.106	6.325	7	23.431	23.087	37.336	
9:	0	17.205	14.142	34.928	39.661	29.547	41.34	17.72	27.203	22.204	4.123	7.071	35.128	32.249	40.311	23.087	41.773	13.342	18.682	42.72	2.236	35.355	12.042	32.527	21.095	36.222	31.016	40.249	37.363	38.833	5	33.422	37.696	15.033	14.765	21.954	18.439	17.493	13.342	36.688	3.606	16.031	26.173	9.849	7	7.211	18.682	9.055	11.705	10	4.123	28.071	28.16	26.926	27.295	49.204	16.279	57.385	52.154	42.438	12.083	22.804	30.529	18.111	5	6.083	36.401	5.831	14.142	25.06	8.246	5	18.385	15.652	38.471	31.401	32.65	26.926	17.117	19.647	13.153	27.803	40.249	39.395	12.369	21.024	19.723	28.443	43.566	30.806	8.062	27.893	28.16	10.44	31.305	5.099	7	23.431	23.022	38.079	
