1:	43.174	24.021	29.017	52.431	33.541	22.825	44.944	22.561	59.666	31.113	0	9.849	40.05	34.059	42.012	22.204	45.343	19.416	24.021	46.84	25.318	42.45	39.013	50.922	6.708	41.037	35.609	32.558	37.336	53.339	20.025	51.039	50.249	30	7.616	24.166	17.088	38.471	32.062	38.079	9.434	5	34.015	19.416	7.28	19.209	9	6.083	4	19.235	41.049	17.117	15	21.471	17	45.222	48.847	42.012	33	28.792	21.954	8.485	41.437	28.862	30.61	34.205	17.029	36.878	41.593	44.643	38.079	41.146	53.535	51.971	4	24.021	49.649	36.674	48.083	39	54.818	22.204	40.792	8.944	52.697	29.698	30.676	33.838	9.434	20.518	24.597	39.395	42.953	34.059	6	22.136	27.857	49.254	31.765	50.249	
2:	43.966	33.971	37.643	36.359	11.662	10.77	23.431	29.069	48.384	21.095	0	9.487	40.112	33.422	43.012	22.361	44.688	19.647	24	45.88	31.828	31.305	41.593	48.01	24.187	29.967	23.259	14.56	20	46.872	39.446	41.304	33.242	27.459	35.511	14.213	18.028	53.075	44.553	8.062	19.925	10.198	40.311	32.062	16.492	29.732	5.385	15.297	13.153	27.459	47.802	40.311	40.112	30.806	32.14	2.236	39.115	11.18	15	14.318	23.537	25.495	19.313	18.682	36.346	34.234	12.166	40.05	34.015	31.89	38.079	39.357	52.154	51.108	3	24.021	49.649	37.162	48.104	37	59.397	24.597	48.662	13.892	58.258	35.228	34.986	40.249	8.944	26.42	28.425	36.401	38.601	32.388	2.236	24.413	29.411	47.043	27.893	45.188	
3:	29.732	33.242	33.734	13.454	15	17.804	10.817	29.017	25.71	12	0	9.487	40.05	32.016	43	21.587	44.688	18.974	24	46.573	48.052	12.53	44.045	28.653	57.14	13.892	19.209	32.894	23.409	19.416	5.385	41.869	44.283	23.77	8	25.495	19.698	21.213	18.439	40.447	24.083	30.871	6.083	29.732	26.476	20.616	37.121	27.659	30.364	16.031	8.062	30.806	32.757	30.15	33	47.381	12.369	58.6	54.12	43.829	6.083	18.682	24.083	8.944	12.53	9.849	29.967	15.133	15.232	21.024	38.079	39.812	53.535	52.839	3	24.021	50.922	37.162	49.497	37	59.397	25.06	49.82	15.264	58.258	36.056	34.67	41.146	10	27.785	40.497	35.511	38.21	36.892	17	35.805	39.205	49.041	28.16	41.195	
4:	27.295	40.162	39.051	7.211	32.558	33.015	23.345	38.013	8	23.345	46.141	40.46	21.024	21.095	23.087	37.054	10	37.643	28.601	12.083	48.27	13.038	44.011	29.53	57.983	13.038	20	31.953	23.77	20	5.385	41.869	43.463	24.352	10	26.683	21.024	20.224	16.492	40.608	32.985	40.311	9.055	36.056	35.114	28.071	46.648	37.336	40.719	25.71	25.962	41.725	43.932	34.67	39.115	35.468	11.402	47.802	48.042	39.051	6	17.464	24.042	8.944	13.416	10.77	28.178	16.279	16.553	21.024	7.81	15.652	27.074	23.345	41.11	46.065	51.108	42.45	32.016	6.708	59.397	25.06	48.836	14.765	59.034	36.056	34.132	40.249	10.817	26.926	16.553	45.453	48.27	31.89	25.71	19.209	19.723	45.793	39.115	57.801	
5:	27.295	40.804	39.812	5.657	31.575	32.802	22.361	38.013	10	23.345	46.141	39.205	21.024	22.204	22.091	37.054	9.899	36.235	28.425	10.77	11.18	38.079	22.023	39.825	10.77	36.249	31.016	34.713	36.014	45.343	12.042	40.804	47.17	29.614	24.042	37.736	33.971	7.211	11.402	51.078	37.483	48.826	21.095	33.615	41.11	29	54.203	41.869	47.508	31.401	25.962	42.45	44.688	35.228	39.661	34.54	11.705	47.802	48.094	38.053	24.698	35.511	6	14.142	31.828	23.854	33.106	30.017	16.125	10.77	7.81	16.155	28.16	24.515	40.112	44.294	50.12	42.45	31.575	5	59.397	24.166	47.854	14.765	59.034	35.805	34.482	39.357	10.817	25.239	17.464	45.453	49.041	32.65	25.962	20	20.591	46.648	39.962	57.801	
6:	27.295	40.804	39.812	7.071	31.401	31.401	21.587	36.674	10	23.345	46.141	37.802	22	20.224	21.213	37.054	8.485	36.235	27.019	12.083	40.853	11.045	35.228	17.889	54.489	12.369	17.088	34.015	26	8.485	18.682	45.222	46.098	24.839	7.616	19.925	13.342	34.205	30.067	35.511	15.232	3.162	36.056	25.179	12.083	23.259	1.414	10.817	5.385	20.616	25.962	41.773	44.688	36.056	38.833	35.468	10.77	48.765	48.094	39.051	24.698	36.346	6.325	15.133	31.828	24.413	33.615	29.682	17.263	10.77	7.81	15.811	28.284	24.739	40.112	43.829	50.606	43.139	31.575	4.243	58.694	24.166	46.872	13.038	59.034	35.609	33.121	37.59	10.296	25.239	16.553	45.453	48.415	32.016	25	20.809	19.723	46.648	39.115	58.412	
7:	24.331	39.446	39.395	16.643	38.013	35.847	30.676	38.288	4.472	26.833	45.651	36.62	22	19.416	20.396	36.014	8.485	34.713	27.019	10.296	40.853	10.198	34.132	17.493	53.075	11.18	16.155	32.016	25	8.602	15.033	24.207	28.636	5.099	23.431	15	14.318	24.839	16.279	28.636	21.19	35.114	22.023	13.601	25.632	12.649	38.484	25.962	31.78	18	0	24.187	26.306	22.804	23.195	46.043	15.297	53.759	48.26	39.205	24.698	36.346	6.083	15.133	31.113	24.698	32.696	29.155	17.263	10.296	29.069	22.091	10.63	15.811	54.452	39	23.77	27.459	5	39.013	58.694	23.77	45.891	12.806	59.034	34.059	33.121	35.847	8.944	23.854	13.892	25.807	27.659	17	14.56	11.314	12.806	32.388	18.385	37.537	
8:	24.331	38.949	38.079	16.401	37.054	34.54	30.083	37.014	4.243	25.495	44.777	36.056	22	19.416	19.416	37.014	9.22	34.059	26.249	9.434	16.763	21	13.892	19.698	29.682	21.024	17.72	31.113	27.459	24.759	27.313	12.083	15.297	9.434	36.235	21	25	29.614	23.087	26.401	31.241	28.636	26	42.45	29.155	33.601	32.249	27.295	31.623	26.401	0	25.08	26.306	22.804	24.083	46.615	15.033	55.172	49.092	39.408	25.632	37.483	6.083	16.031	31.145	24.698	33.615	29.682	18.439	8.944	28.071	23.087	11.314	15	55.154	39	22.847	27.659	4.243	39	58.694	25.08	46.69	14.213	60.44	34.059	32.757	36.235	8.944	25.239	33.971	11.18	11.402	17.205	46.53	29.069	31.145	6.325	18.111	14.318	
9:	24.331	38.471	36.77	15.62	37.054	33.242	28.231	35.805	4.472	24.597	46.271	37.014	7.616	34.059	2.236	47.17	28.653	30.364	24.021	9.22	16.763	21.024	14.318	19.235	31.385	22.091	18.385	32.558	27.203	24.083	27.313	11.662	15.297	11.18	36.125	22.023	26.249	29.275	23.087	26.627	31.241	27.893	26	43.863	30.529	33.601	31.401	28.653	32.311	28.018	0	24.187	24.331	22.804	23.195	46.043	15.033	53.759	48.26	38.601	9.22	21.471	26.627	14.036	7.211	7.071	33.106	9.22	13.153	22.472	36.497	38.328	54.203	52.393	4	19.235	47.011	30.083	47.508	39.319	59.397	25.06	47.676	15.264	62.37	36.235	33.015	37.577	9.22	26.077	34	16.155	17.088	25.495	27.586	32.14	33.015	31.623	12.207	23.087	
10:	24.331	37.121	37.336	15.62	36.014	31.385	26.926	34.67	5.831	23.707	45.277	35.511	21.024	18.439	19.647	36.014	9.22	35.609	26.249	10.817	29.547	19.416	31.828	33.015	28.231	20	13.038	13.892	11.045	33.956	0	38.275	42.379	21	12.042	27.313	22.804	16.279	13.601	43.417	30.48	25.962	27.019	42.45	30.232	33.838	31.401	28.653	30.463	26.926	0	25.179	25.179	22.804	24.083	46.043	15.033	54.489	48.549	40	9.22	21.095	26.627	14.318	7.071	7.81	31.78	9.22	13.153	22.472	0	3	24.166	19.209	37.363	36.401	41.146	33.302	25.02	11.045	59.397	24.597	48.662	15.264	61.717	37.014	33.601	38.013	9.899	25.554	33.377	10.817	11.662	24.739	30.61	32.016	33.377	28.425	9.22	17.117	
11:	45.967	43.829	49.244	25.318	8.062	21.541	12.649	39.357	42.297	23.345	45.277	34.986	22.023	18.439	20.616	35.014	8.485	36.401	25.495	11.662	28.636	20.616	31.828	33.015	26.401	19.849	13.038	14.765	12.042	34.205	1	38.013	41.11	20.025	12.042	25.495	21.401	17.464	13.342	41.485	31.113	25.632	28.16	43.278	30	33.615	30.414	29.155	30.871	26.833	0	25.179	25.179	21.84	23.087	46.043	15	55.227	48.021	40.608	23.409	34.525	5.099	13.342	30.414	23.259	30.871	28.178	18.111	10.296	36.497	37.855	55.57	52.924	3.162	18.248	46.615	30.871	47.508	38.328	59.397	24.166	49.649	15.811	62.37	37.014	33.015	37.577	9.22	25.06	33.242	11.662	11.662	25.962	29.833	32	32.249	29.833	9.22	17.117	
12:	0	15.232	14.213	36.139	40.804	28.636	41.34	15.297	27.203	22.804	29.428	23.537	43.417	16	45.793	7.071	29.017	35.735	28.601	42.72	28.636	20	31.828	32	27.313	19.849	11.662	14.765	11.045	33.956	0	39.115	42.059	22	14	27.731	23.601	16.492	11.705	42.45	26.627	40.719	19.235	23.707	31.385	18.358	46.648	35.511	37.736	21.587	0	25.08	24.187	22.136	23.087	46.043	14	54.489	48.877	39.825	23.409	34.525	4.123	13.601	30.414	24.166	30.871	29.53	18.111	11.662	0	3.606	26.077	20.518	34.928	33.242	39.812	31.113	25.08	11.402	60.108	25.08	49.649	16.401	61.62	36.235	32.45	37.162	8.485	25.942	33.242	12.207	12.806	27.203	29.833	33	32.249	29.833	10.198	17.117	
13:	0	15.232	14.213	37.108	41.4	29.069	40.497	15.524	26.249	22.023	29.428	23.537	42.638	16	44.102	8.246	27.019	35.44	28.601	40.853	29.547	18.868	31.89	32	27.857	18.439	11.18	13.892	10.05	33.734	0	37.736	42.059	22	16	27.731	23.601	15.297	10.44	43.012	26.627	39.812	18.868	23.259	30.529	18.028	45.793	33.838	36.056	20.881	0	24.083	24.331	22.136	23.087	45.222	15	53.814	48.021	40.608	23.409	33.377	4.123	13	30.414	24.698	29.547	28.636	18	13.038	0	4.123	25.239	19.799	35.44	32.573	38.484	29.732	25.08	12.166	59.397	25.495	48.662	15.811	60.959	37.014	33.287	38.079	9.22	25.942	32.249	12.207	12.207	28.16	29.206	34	32.388	29.206	10.05	17.029	
14:	20.224	31.906	34.176	20	36.346	29.12	29.069	30	7.211	20.248	29.428	25.495	42.638	16.125	44.654	9.22	26	37.363	30	42.154	29.967	19.416	32.65	32	28.231	19.209	11.18	13.416	10.05	32.757	0	38.588	43.012	23	15.033	29.069	25	15.133	9.849	43.012	26.627	39.357	17.493	24.597	31.906	18.028	46.325	35	37.443	21.541	0	24.021	24.515	22.136	23.022	44.407	15.033	53.151	48.021	40	23.77	32.558	2.236	13.892	31.145	24.698	29.547	29.967	19.026	13.038	0	4	25.239	18.439	36.056	32.016	38.013	28.32	25.08	13.153	17.889	21.213	24.207	25.495	20.248	4.243	15.297	11.045	33.601	16.401	0	28.653	29.53	12.53	23.601	4	1	30.887	23.77	39.962	
15:	20.224	31.623	33.242	21.633	35.511	28.862	30.017	28.601	7.211	20.881	29.428	23.537	41.4	17.029	44.102	8.544	25.02	36.688	28.601	41.437	29.967	20.616	31.89	32.016	28.231	20.518	12.53	13.928	12.042	32.985	0	38.949	42.45	22.023	16.125	28.653	25	14.142	8.544	42.379	36.401	40.112	20	46.957	38.21	34.482	46.69	41.195	42.048	30.463	0	25	23.345	22.847	24.083	45.222	16.125	53.151	48.021	40	23.409	32.249	2.236	12.53	29.732	23.77	29.069	29.967	19.026	13.038	0	4.123	26.077	19.105	36.688	31.321	39.357	29.698	26.077	11.18	36.125	17	54.406	31.953	36.674	29.682	16.401	37.643	33.136	32.202	0	28.302	28.653	11.18	23.601	3.162	2.236	31.305	22.561	39.115	
16:	45.277	41.593	48.374	24.042	5.385	18.788	9.849	38.949	42.579	24.083	30.414	24.331	41.4	18.111	44.102	9.22	25	37.643	30.232	42.154	29.069	20.518	31.145	32.14	26.926	20.518	12.53	14.56	13.038	34.205	0	38.588	41.761	20.025	16.031	26.926	23.431	14.56	9.22	41.11	36.401	41.195	18.601	46.519	38.053	33.121	46.69	41.049	42.012	29.732	0	24.021	23.345	21.932	22.091	45.486	17.263	51.662	47.17	39.205	23.409	31.257	2	11.18	28.425	23.77	27.295	29.547	20.1	14.422	0	6.083	25.807	19.849	35.44	30.083	39.812	28.284	26.173	12.369	17.464	20.224	24.083	23.345	21.19	4.243	15.524	11.045	32.65	16.401	0	29.682	28.653	11.18	24.839	3.162	1.414	30.887	22.561	39.115	
17:	0	16.553	14.422	38.328	40.608	27.295	40.804	14.866	24.698	20.809	30.414	23.195	40	17.029	44.418	8.062	25	36.688	28.844	41.785	29.069	20.616	32.65	32.016	27.514	19.105	11.705	12.649	12.042	33.956	0	40.311	41.761	21.095	16.125	26.926	24.207	14.56	8.544	42.059	35.44	40.311	18.868	46.519	37.014	32.757	45.541	39.051	42.012	29.155	0	23.022	22.561	21.471	22.091	44.418	17.263	50.249	45.486	39.051	23.409	30.265	1.414	9.849	28.601	23.087	26.42	29.155	20.1	15	0	5.385	25.807	21.213	35.171	30.676	40.311	28.32	27.166	11.402	46.098	12.042	44.181	13.601	48.795	27.857	22.023	30.067	8.944	17	0	30.232	28.302	12.53	23.431	4.472	1.414	32.249	22.561	39.661	
