1:	10.296	3.162	7.071	19.235	10.817	15	16.031	24.759	8	8.602	
2:	10.296	3.162	6.325	17.493	9.22	15.133	16.031	24.042	8.246	7.071	
3:	5	12.369	8.062	5	5.099	18.028	17.029	13.601	15.297	8.062	
4:	5	13.342	9.849	5	6	18.358	17.804	13.342	15.297	9	
5:	5	13.601	9.434	3.606	7.071	18.358	17.804	12.369	15.033	9	
6:	1.414	9.487	5.831	6.708	3	15.62	14.213	13.892	10.05	6	
7:	1.414	10.198	5	8.062	3.162	16.971	14.422	13.892	10.44	6.083	
8:	1.414	10.198	5	8.062	3.162	15.62	13.038	12.207	10.05	6.083	
9:	1.414	10.198	4.123	8.944	3.162	14.866	12.083	13.601	9.22	5.385	
10:	1.414	10.198	5	10.296	1.414	14.866	12.083	13.601	7.28	5.385	
11:	1.414	11.18	5	9.434	1.414	14.866	13.038	12.53	7.28	7.28	
12:	1.414	10.44	5.099	10.296	1.414	14.213	13.416	13.038	5.385	7.28	
13:	1.414	9.22	5.099	10.817	0	14.213	14.765	13.038	6.708	7.28	
14:	1.414	9.22	4.123	11.402	2	14.213	16.553	13.038	6.708	8.062	
15:	1.414	8.544	4.123	12.806	3.162	12.806	16.553	13.601	5.385	6.403	
16:	1.414	9.849	4.123	11.402	4	14.142	17.493	12.53	6.708	7.211	
17:	1.414	10.44	5	9.899	4	15.556	18.028	11.18	8.544	8.062	
18:	1	11.705	5	10	2	14.866	17.205	10.296	9.22	6.708	
19:	1.414	10.44	5	10	3.162	16.279	18.028	10.296	10.44	6.403	
20:	1.414	9.487	5.657	10.63	3	17.029	18.028	9.434	11.402	7.071	
21:	1.414	9.849	6.403	10.63	4	17.804	17.493	8.602	11.705	6.403	
22:	1.414	10.44	7.211	9.22	3.162	19.209	17.205	7.211	12.649	8.062	
23:	1.414	11.705	7.071	9.22	2.828	17.804	17.205	7.071	12.369	8.062	
24:	2.236	13	8.602	8.485	4.472	18.439	17.804	7.211	13.342	8.062	
25:	1.414	13.928	8.602	9.22	3.606	19.105	17.029	7.211	12.369	7.211	
26:	1.414	12.649	7.81	9.22	2.236	18.439	15.62	8.602	11.402	7.211	
