1:	9.434	5	34.015	19.416	7.28	19.209	9	6.083	4	19.235	
2:	19.925	10.198	40.311	32.062	16.492	29.732	5.385	15.297	13.153	27.459	
3:	24.083	30.871	6.083	29.732	26.476	20.616	37.121	27.659	30.364	16.031	
4:	32.985	40.311	9.055	36.056	35.114	28.071	46.648	37.336	40.719	25.71	
5:	37.483	48.826	21.095	33.615	41.11	29	54.203	41.869	47.508	31.401	
6:	15.232	3.162	36.056	25.179	12.083	23.259	1.414	10.817	5.385	20.616	
7:	21.19	35.114	22.023	13.601	25.632	12.649	38.484	25.962	31.78	18	
8:	31.241	28.636	26	42.45	29.155	33.601	32.249	27.295	31.623	26.401	
9:	31.241	27.893	26	43.863	30.529	33.601	31.401	28.653	32.311	28.018	
10:	30.48	25.962	27.019	42.45	30.232	33.838	31.401	28.653	30.463	26.926	
11:	31.113	25.632	28.16	43.278	30	33.615	30.414	29.155	30.871	26.833	
12:	26.627	40.719	19.235	23.707	31.385	18.358	46.648	35.511	37.736	21.587	
13:	26.627	39.812	18.868	23.259	30.529	18.028	45.793	33.838	36.056	20.881	
14:	26.627	39.357	17.493	24.597	31.906	18.028	46.325	35	37.443	21.541	
15:	36.401	40.112	20	46.957	38.21	34.482	46.69	41.195	42.048	30.463	
16:	36.401	41.195	18.601	46.519	38.053	33.121	46.69	41.049	42.012	29.732	
17:	35.44	40.311	18.868	46.519	37.014	32.757	45.541	39.051	42.012	29.155	
18:	20.616	35.384	5	28.018	29.411	13.038	39.825	29.155	31.906	14.765	
19:	20.616	34.059	5.385	28.018	28.302	14	38.601	27.785	30.529	14.765	
20:	20.125	33.941	7.81	27	29.206	13.038	39.051	28.844	30	15.811	
21:	20.125	33.971	7.81	27	30.61	14	40.46	28.844	31.401	15.811	
22:	20.616	35.609	5.831	29.069	31.064	16.125	40.608	30.887	33.015	17	
23:	20.616	34.205	5.831	29.069	31.064	16.125	39.205	30.414	33.287	16.155	
24:	11.402	23.601	11	22.136	21.633	12.042	30	21.541	23.854	8	
25:	21.024	33.601	8.062	28.071	31.623	15.524	40	29.967	33.838	17.088	
26:	21.024	33.601	8.544	29.017	32.802	15.524	39.825	30.414	33.601	18.385	
27:	20.616	32.802	7.616	29	32.202	14.56	39.051	29.967	34.205	19.313	
28:	20.616	31.623	7.211	29	30.806	14.56	37.802	29.155	34.409	18.028	
29:	20.616	33.015	8.944	28.018	30.61	14.142	39.205	29.155	35.609	19.313	
30:	31.048	42.485	10.63	38.013	38.079	24.187	48.374	39.56	43.046	27.893	
31:	31.321	41.593	9.899	38.053	38.588	24.083	48.877	39.56	42.544	27.893	
